6,0.06,0.25,-0.06,-0.75,-0.76,9.66
!!,0:3:7.991,187991,22.13
@@,0:3:8.18,188018,0,0
912,1.00,-0.04,0.04,0.00,8.38,19.25,-57.56,0.06,0.25,-0.06,-0.75,-0.76,9.66
!!,0:3:7.991,187991,22.13
@@,0:3:8.18,188018,0,0
# Sensors init exited with 1
# Xbee init exited with 0
# SD init exited with 0
# GPS init exited with 1
!!,0:0:9.20,9020,22.13
@@,0:0:9.44,9044,0,0
##,98573.50,232.31
%%,0:0:9.868,9868,1.00,-0.04,0.04,0.00,8.06,18.87,-57.25,-0.06,-0.25,-0.06,-0.76,-0.76,9.66
!!,0:0:9.945,9945,22.13
@@,0:0:9.971,9971,0,0
##,98575.00,231.94
%%,0:0:10.795,10795,1.00,-0.04,0.04,0.00,8.06,19.69,-58.00,-0.12,0.06,-0.06,-0.77,-0.78,9.63
!!,0:0:10.874,10874,22.13
@@,0:0:10.902,10902,0,0
##,98578.50,231.94
%%,0:0:11.728,11728,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,-0.06,0.06,-0.06,-0.74,-0.77,9.66
!!,0:0:11.808,11808,22.13
@@,0:0:11.836,11836,0,0
##,98577.25,231.88
%%,0:0:12.661,12661,1.00,-0.04,0.04,0.00,7.69,19.69,-58.06,0.00,0.00,0.06,-0.75,-0.79,9.65
!!,0:0:12.738,12738,22.13
@@,0:0:12.766,12766,0,0
##,98574.25,231.81
%%,0:0:13.592,13592,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,-0.06,-0.06,-0.12,-0.74,-0.82,9.66
!!,0:0:13.674,13674,22.13
@@,0:0:13.702,13702,0,0
##,98578.75,232.06
%%,0:0:14.527,14527,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,0.00,0.06,0.00,-0.74,-0.79,9.68
!!,0:0:14.604,14604,22.14
@@,0:0:14.631,14631,0,0
##,98579.00,232.13
%%,0:0:15.458,15458,1.00,-0.04,0.04,0.00,8.06,19.25,-57.56,-0.12,0.12,-0.06,-0.73,-0.79,9.61
!!,0:0:15.537,15537,22.14
@@,0:0:15.565,15565,0,0
##,98577.75,232.06
%%,0:0:16.392,16392,1.00,-0.04,0.04,0.00,6.88,19.25,-58.00,0.00,0.12,0.00,-0.73,-0.79,9.64
!!,0:0:16.466,16466,22.14
@@,0:0:16.494,16494,0,0
##,98577.75,231.81
%%,0:0:17.321,17321,1.00,-0.04,0.04,0.00,8.06,18.87,-58.06,0.12,0.00,0.12,-0.74,-0.79,9.64
!!,0:0:17.396,17396,22.14
@@,0:0:17.424,17424,0,0
##,98576.50,231.88
%%,0:0:18.249,18249,1.00,-0.04,0.04,0.00,6.56,19.25,-58.06,-0.12,-0.06,-0.12,-0.71,-0.84,9.65
!!,0:0:18.332,18332,22.14
@@,0:0:18.360,18360,0,0
##,98577.75,231.75
%%,0:0:19.186,19186,1.00,-0.04,0.04,0.00,7.69,19.25,-58.38,0.00,-0.06,0.00,-0.75,-0.78,9.63
!!,0:0:19.264,19264,22.14
@@,0:0:19.292,19292,0,0
##,98576.25,231.94
%%,0:0:20.118,20118,1.00,-0.04,0.04,0.00,7.25,18.87,-56.88,-0.06,-0.06,-0.06,-0.77,-0.77,9.65
!!,0:0:20.200,20200,22.14
@@,0:0:20.228,20228,0,0
##,98581.75,231.81
%%,0:0:21.55,21055,1.00,-0.04,0.04,0.00,7.69,19.25,-57.25,0.00,0.06,-0.12,-0.74,-0.78,9.65
!!,0:0:21.130,21130,22.14
@@,0:0:21.157,21157,0,0
##,98573.00,231.69
%%,0:0:21.984,21984,1.00,-0.04,0.04,0.00,7.25,19.25,-59.56,0.06,0.12,-0.06,-0.72,-0.80,9.63
!!,0:0:22.61,22061,22.14
@@,0:0:22.87,22087,0,0
##,98575.75,232.06
%%,0:0:22.913,22913,1.00,-0.04,0.04,0.00,7.25,19.69,-58.00,-0.06,-0.06,-0.12,-0.77,-0.80,9.65
!!,0:0:22.994,22994,22.14
@@,0:0:23.22,23022,0,0
##,98579.25,231.88
%%,0:0:23.846,23846,1.00,-0.04,0.04,0.00,7.69,18.19,-58.00,0.00,-0.06,0.00,-0.74,-0.79,9.65
!!,0:0:23.925,23925,22.14
@@,0:0:23.953,23953,0,0
##,98577.25,231.81
%%,0:0:24.778,24778,1.00,-0.04,0.04,0.00,7.25,19.69,-57.25,0.06,-0.06,-0.12,-0.76,-0.76,9.64
!!,0:0:24.859,24859,22.14
@@,0:0:24.887,24887,0,0
##,98576.00,231.63
%%,0:0:25.712,25712,1.00,-0.04,0.04,0.00,7.25,19.25,-58.00,0.19,0.00,0.12,-0.74,-0.77,9.66
!!,0:0:25.789,25789,22.14
@@,0:0:25.817,25817,0,0
##,98579.75,231.94
%%,0:0:26.643,26643,1.00,-0.04,0.04,0.00,7.69,20.37,-58.00,0.06,0.00,0.00,-0.74,-0.79,9.63
!!,0:0:26.718,26718,22.14
@@,0:0:26.746,26746,0,0
##,98578.25,231.88
%%,0:0:27.573,27573,1.00,-0.04,0.04,0.00,7.25,19.69,-57.56,-0.06,0.06,-0.06,-0.75,-0.79,9.64
!!,0:0:27.652,27652,22.14
@@,0:0:27.679,27679,0,0
##,98577.50,231.81
%%,0:0:28.507,28507,1.00,-0.04,0.04,0.00,6.88,18.56,-58.75,0.00,0.00,0.00,-0.74,-0.76,9.64
!!,0:0:28.581,28581,22.15
@@,0:0:28.609,28609,0,0
##,98578.75,232.06
%%,0:0:29.434,29434,1.00,-0.04,0.04,0.00,8.06,19.69,-58.38,-0.06,-0.06,-0.06,-0.75,-0.77,9.66
!!,0:0:29.517,29517,22.15
@@,0:0:29.545,29545,0,0
##,98578.75,231.81
%%,0:0:30.372,30372,1.00,-0.04,0.04,0.00,6.88,18.87,-57.25,0.06,0.12,0.06,-0.76,-0.79,9.63
!!,0:0:30.447,30447,22.15
@@,0:0:30.475,30475,0,0
##,98580.00,231.94
%%,0:0:31.300,31300,1.00,-0.04,0.04,0.00,7.25,20.00,-58.00,-0.12,-0.19,-0.06,-0.74,-0.78,9.64
!!,0:0:31.383,31383,22.15
@@,0:0:31.411,31411,0,0
##,98574.75,232.06
%%,0:0:32.237,32237,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,-0.19,0.06,0.06,-0.75,-0.77,9.65
!!,0:0:32.314,32314,22.15
@@,0:0:32.343,32343,0,0
##,98576.25,232.25
%%,0:0:33.65705,33169,1.00,-0.04,0.04,0.00,7.25,19.25,-57.25,0.25,0.12,0.00,-0.74,-0.79,9.65
!!,0:0:33.65784,33248,22.15
@@,0:0:33.65814,33278,0,0
##,98576.75,232.06
%%,0:0:34.65642,34106,1.00,-0.04,0.04,0.00,7.69,18.19,-57.56,-0.12,-0.12,-0.06,-0.74,-0.79,9.64
!!,0:0:34.65728,34192,22.15
@@,0:0:34.65759,34223,0,0
##,98579.00,231.94
%%,0:0:35.65586,35050,1.00,-0.04,0.04,0.00,6.56,18.87,-58.00,-0.06,0.12,-0.06,-0.74,-0.80,9.63
!!,0:0:35.65670,35134,22.15
@@,0:0:35.65700,35164,0,0
##,98578.75,231.69
%%,0:0:35.66528,35992,1.00,-0.04,0.04,0.00,8.06,18.87,-59.19,0.06,0.06,0.06,-0.74,-0.80,9.64
!!,0:0:36.65608,36072,22.15
@@,0:0:36.65638,36102,0,0
##,98576.75,231.94
%%,0:0:36.66467,36931,1.00,-0.04,0.04,0.00,7.25,18.87,-58.75,0.00,0.06,0.06,-0.74,-0.78,9.65
!!,0:0:37.65546,37010,22.15
@@,0:0:37.65576,37040,0,0
##,98578.00,231.94
%%,0:0:37.66404,37868,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,-0.12,0.19,0.00,-0.75,-0.77,9.65
!!,0:0:37.66486,37950,22.14
@@,0:0:37.66516,37980,0,0
##,98576.50,231.81
%%,0:0:38.66345,38809,1.00,-0.04,0.04,0.00,7.69,19.25,-58.75,-0.12,-0.12,0.06,-0.75,-0.75,9.65
!!,0:0:38.66428,38892,22.14
@@,0:0:38.66458,38922,0,0
##,98578.50,232.06
%%,0:0:39.66287,39751,1.00,-0.04,0.04,0.00,7.69,18.56,-57.69,0.00,0.12,-0.06,-0.74,-0.75,9.66
!!,0:0:39.66368,39832,22.15
@@,0:0:39.66398,39862,0,0
##,98578.00,232.00
%%,0:0:40.66225,40689,1.00,-0.04,0.04,0.00,7.69,18.87,-58.38,-0.12,-0.06,0.06,-0.75,-0.80,9.64
!!,0:0:40.66310,40774,22.15
@@,0:0:40.66340,40804,0,0
##,98578.75,231.88
%%,0:0:41.66167,41631,1.00,-0.04,0.04,0.00,7.69,19.69,-57.56,0.00,0.19,0.00,-0.73,-0.82,9.63
!!,0:0:41.66248,41712,22.15
@@,0:0:41.66278,41742,0,0
##,98579.00,231.75
%%,0:0:42.66106,42570,1.00,-0.04,0.04,0.00,7.25,19.25,-57.56,0.06,0.06,0.06,-0.74,-0.83,9.63
!!,0:0:42.66186,42650,22.14
@@,0:0:42.66216,42680,0,0
##,98577.00,231.75
%%,0:0:43.66043,43507,1.00,-0.04,0.04,0.00,8.38,17.75,-58.38,0.00,-0.06,0.00,-0.77,-0.80,9.65
!!,0:0:43.66126,43590,22.15
@@,0:0:43.66156,43620,0,0
##,98577.75,231.69
%%,0:0:44.65984,44448,1.00,-0.04,0.04,0.00,7.25,19.25,-58.06,-0.06,0.12,0.00,-0.74,-0.76,9.64
!!,0:0:44.66066,44530,22.15
@@,0:0:44.66096,44560,0,0
##,98578.75,231.31
