# Sensors init exited with 1
# Xbee init exited with 0
# SD init exited with 0
# GPS init exited with 1
!!,0:0:9.20,9020,22.81
@@,0:0:9.44,9044,0,0
##,0:0:9.864,9864,98936.50,201.75
%%,0:0:9.868,9868,1.00,-0.04,0.04,0.00,4.38,14.19,-52.00,-0.06,-0.06,0.00,-0.79,-0.74,9.63
!!,0:0:9.959,9959,22.81
@@,0:0:9.985,9985,0,0
##,0:0:10.806,10806,98933.50,201.38
%%,0:0:10.810,10810,1.00,-0.04,0.04,0.00,4.75,13.06,-53.19,0.06,0.00,0.12,-0.77,-0.70,9.62
!!,0:0:10.903,10903,22.81
@@,0:0:10.931,10931,0,0
##,0:0:11.754,11754,98942.00,201.38
%%,0:0:11.758,11758,1.00,-0.04,0.04,0.00,5.06,13.38,-52.00,0.00,0.00,-0.06,-0.81,-0.72,9.66
!!,0:0:11.853,11853,22.81
@@,0:0:11.881,11881,0,0
##,0:0:12.704,12704,98936.50,201.13
%%,0:0:12.709,12709,1.00,-0.04,0.04,0.00,5.06,13.38,-52.75,-0.06,-0.06,-0.12,-0.80,-0.74,9.61
!!,0:0:12.808,12808,22.82
@@,0:0:12.835,12835,0,0
##,0:0:13.659,13659,98940.25,201.13
%%,0:0:13.664,13664,1.00,-0.04,0.04,0.00,3.69,13.38,-52.75,0.12,0.12,0.06,-0.74,-0.78,9.62
!!,0:0:13.756,13756,22.82
@@,0:0:13.784,13784,0,0
##,0:0:14.607,14607,98936.50,201.31
%%,0:0:14.610,14610,1.00,-0.04,0.04,0.00,3.69,13.75,-52.75,0.06,-0.12,0.00,-0.80,-0.65,9.59
!!,0:0:14.706,14706,22.82
@@,0:0:14.734,14734,0,0
##,0:0:15.557,15557,98942.25,201.13
%%,0:0:15.560,15560,1.00,-0.04,0.04,0.00,4.75,13.38,-53.19,0.19,0.06,0.00,-0.77,-0.76,9.66
!!,0:0:15.654,15654,22.82
@@,0:0:15.682,15682,0,0
##,0:0:16.504,16504,98945.00,201.00
%%,0:0:16.509,16509,1.00,-0.04,0.04,0.00,4.38,13.06,-52.38,-0.06,-0.06,0.06,-0.81,-0.68,9.65
!!,0:0:16.606,16606,22.83
@@,0:0:16.634,16634,0,0
##,0:0:17.457,17457,98943.00,200.81
%%,0:0:17.462,17462,1.00,-0.04,0.04,0.00,4.06,13.38,-52.38,0.00,0.06,0.06,-0.81,-0.74,9.62
!!,0:0:17.554,17554,22.83
@@,0:0:17.583,17583,0,0
##,0:0:18.405,18405,98943.75,201.06
%%,0:0:18.409,18409,1.00,-0.04,0.04,0.00,4.06,13.38,-52.75,0.12,-0.12,-0.06,-0.79,-0.72,9.66
!!,0:0:18.506,18506,22.83
@@,0:0:18.534,18534,0,0
##,0:0:19.357,19357,98944.50,200.88
%%,0:0:19.361,19361,1.00,-0.04,0.04,0.00,4.06,13.38,-52.38,0.12,0.06,0.00,-0.78,-0.71,9.66
!!,0:0:19.454,19454,22.83
@@,0:0:19.482,19482,0,0
##,0:0:20.305,20305,98937.00,200.94
%%,0:0:20.310,20310,1.00,-0.04,0.04,0.00,4.06,12.75,-52.38,0.06,0.00,0.12,-0.77,-0.71,9.64
!!,0:0:20.403,20403,22.83
@@,0:0:20.430,20430,0,0
##,0:0:21.254,21254,98942.75,201.19
%%,0:0:21.257,21257,1.00,-0.04,0.04,0.00,3.69,13.38,-52.38,-0.19,-0.06,0.00,-0.76,-0.70,9.66
!!,0:0:21.355,21355,22.83
@@,0:0:21.383,21383,0,0
##,0:0:22.206,22206,98941.25,201.13
%%,0:0:22.209,22209,1.00,-0.04,0.04,0.00,1.88,7.75,-30.37,-0.06,-0.12,0.06,-0.78,-0.78,9.72
!!,0:0:22.305,22305,22.83
@@,0:0:22.333,22333,0,0
##,0:0:23.156,23156,98940.00,201.06
%%,0:0:23.160,23160,1.00,-0.05,0.01,0.03,-0.19,7.69,-29.37,-2.31,-8.81,2.06,-0.22,-0.98,9.82
!!,0:0:23.258,23258,22.83
@@,0:0:23.285,23285,0,0
##,0:0:24.109,24109,98938.75,200.88
%%,0:0:24.113,24113,1.00,-0.03,0.01,0.03,-3.06,6.50,-29.75,2.69,-4.94,3.56,-0.44,-0.66,9.67
!!,0:0:24.208,24208,22.84
@@,0:0:24.236,24236,0,0
##,0:0:25.59,25059,98939.75,201.13
%%,0:0:25.63,25063,1.00,-0.02,0.03,0.05,-3.75,4.25,-31.00,-19.87,16.81,12.13,-0.45,-0.53,9.16
!!,0:0:25.161,25161,22.84
@@,0:0:25.189,25189,0,0
##,0:0:26.12,26012,98940.25,201.25
%%,0:0:26.16,26016,1.00,0.04,0.00,0.03,-7.06,-1.00,-31.87,0.37,7.75,-4.88,-0.23,0.35,10.32
!!,0:0:26.107,26107,22.84
@@,0:0:26.136,26136,0,0
##,0:0:26.958,26958,98940.00,201.25
%%,0:0:26.962,26962,1.00,0.06,0.02,-0.03,-6.19,-3.00,-33.38,9.81,5.06,-23.19,-0.65,0.20,8.82
!!,0:0:27.60,27060,22.84
@@,0:0:27.86,27086,0,0
##,0:0:27.909,27909,98935.00,201.19
%%,0:0:27.913,27913,0.99,0.03,0.03,-0.11,-0.37,-4.06,-35.38,4.88,-11.00,-6.56,-1.06,0.62,9.64
!!,0:0:28.12,28012,22.84
@@,0:0:28.39,28039,0,0
##,0:0:28.861,28861,98937.50,201.63
%%,0:0:28.865,28865,0.99,0.04,0.03,-0.15,0.50,-7.50,-37.38,6.75,0.81,-4.69,-0.94,1.47,8.76
!!,0:0:28.958,28958,22.84
@@,0:0:28.986,28986,0,0
##,0:0:29.809,29809,98937.00,201.44
%%,0:0:29.814,29814,0.98,0.07,0.03,-0.18,2.25,-10.38,-37.19,4.38,-9.38,-2.56,-0.54,0.95,9.81
!!,0:0:29.911,29911,22.84
@@,0:0:29.938,29938,0,0
##,0:0:30.761,30761,98933.50,201.25
%%,0:0:30.766,30766,0.98,0.07,0.05,-0.16,3.75,-9.25,-37.50,4.56,1.88,5.63,-1.27,1.26,9.06
!!,0:0:30.857,30857,22.84
@@,0:0:30.884,30884,0,0
##,0:0:31.708,31708,98935.50,201.44
%%,0:0:31.712,31712,0.98,0.07,0.05,-0.16,3.19,-10.25,-36.06,-3.56,-4.63,3.13,-1.35,1.45,8.82
!!,0:0:31.809,31809,22.84
@@,0:0:31.837,31837,0,0
##,0:0:32.660,32660,98933.50,201.56
%%,0:0:32.664,32664,0.99,0.07,0.02,-0.09,-2.00,-10.38,-37.56,-1.63,-11.31,9.81,-0.30,1.14,9.11
!!,0:0:32.765,32765,22.84
@@,0:0:32.793,32793,0,0
##,0:0:33.66152,33616,98936.50,201.38
%%,0:0:33.66155,33619,1.00,0.01,0.00,-0.00,-5.56,-6.06,-38.19,12.06,3.25,-4.75,-0.09,1.25,10.51
!!,0:0:33.66262,33726,22.84
@@,0:0:33.66292,33756,0,0
##,0:0:34.66117,34581,98938.00,201.13
%%,0:0:34.66122,34586,0.99,-0.01,0.06,-0.12,4.00,-7.25,-40.38,-12.56,26.56,-23.00,-1.06,0.24,9.87
!!,0:0:34.66231,34695,22.84
@@,0:0:34.66260,34724,0,0
