@@,0:0:59.66323,59787,0,0
97,-0.04,0.05,-0.25,9.56,-4.00,-49.19,-0.06,0.06,0.00,-0.59,-1.02,9.64
!!,0:0:59.66293,59757,22.87
@@,0:0:59.66323,59787,0,0
# Sensors init exited with 1
# Xbee init exited with 0
# SD init exited with 0
# GPS init exited with 1
!!,0:0:9.113,9113,22.89
@@,0:0:9.139,9139,0,0
##,0:0:9.960,9960,98938.00,201.75
%%,0:0:9.964,9964,1.00,-0.05,0.03,-0.00,12.06,17.06,-54.75,0.12,-0.19,-0.06,-0.63,-1.02,9.61
!!,0:0:10.59,10059,22.89
@@,0:0:10.86,10086,0,0
##,0:0:10.908,10908,98938.25,201.31
%%,0:0:10.913,10913,1.00,-0.05,0.03,-0.00,12.38,17.87,-54.75,0.00,-0.06,0.12,-0.60,-1.07,9.62
!!,0:0:11.12,11012,22.90
@@,0:0:11.38,11038,0,0
##,0:0:11.860,11860,98938.50,201.06
%%,0:0:11.865,11865,1.00,-0.05,0.03,-0.00,12.38,17.50,-53.56,0.25,0.12,-0.12,-0.59,-1.08,9.61
!!,0:0:11.964,11964,22.90
@@,0:0:11.992,11992,0,0
##,0:0:12.815,12815,98939.50,200.81
%%,0:0:12.819,12819,1.00,-0.05,0.03,-0.00,12.38,17.87,-53.19,0.19,0.12,0.00,-0.59,-1.02,9.62
!!,0:0:12.916,12916,22.90
@@,0:0:12.944,12944,0,0
##,0:0:13.767,13767,98940.25,201.06
%%,0:0:13.771,13771,1.00,-0.05,0.03,-0.00,12.38,17.06,-54.75,0.19,0.06,0.06,-0.59,-1.05,9.65
!!,0:0:13.869,13869,22.90
@@,0:0:13.896,13896,0,0
##,0:0:14.720,14720,98942.75,201.06
%%,0:0:14.724,14724,1.00,-0.05,0.03,-0.00,11.69,17.06,-54.38,0.12,0.12,-0.19,-0.61,-1.09,9.61
!!,0:0:14.823,14823,22.91
@@,0:0:14.851,14851,0,0
##,0:0:15.674,15674,98939.25,200.75
%%,0:0:15.678,15678,1.00,-0.05,0.03,-0.00,11.25,17.06,-53.56,-0.12,-0.12,0.06,-0.60,-1.04,9.63
!!,0:0:15.779,15779,22.91
@@,0:0:15.807,15807,0,0
##,0:0:16.630,16630,98942.00,200.88
%%,0:0:16.633,16633,1.00,-0.05,0.03,-0.00,12.06,17.06,-53.19,-0.12,-0.19,-0.06,-0.58,-1.05,9.65
!!,0:0:16.738,16738,22.91
@@,0:0:16.765,16765,0,0
##,0:0:17.589,17589,98944.00,200.94
%%,0:0:17.593,17593,1.00,-0.05,0.03,-0.00,11.00,17.06,-53.56,0.00,-0.12,0.00,-0.61,-1.05,9.64
!!,0:0:17.692,17692,22.92
@@,0:0:17.720,17720,0,0
##,0:0:18.543,18543,98942.75,200.94
%%,0:0:18.546,18546,1.00,-0.05,0.03,-0.00,12.06,17.87,-54.00,0.12,0.00,0.00,-0.61,-1.05,9.63
!!,0:0:18.644,18644,22.92
@@,0:0:18.672,18672,0,0
##,0:0:19.494,19494,98941.00,200.69
%%,0:0:19.499,19499,1.00,-0.05,0.03,-0.00,12.06,16.75,-54.00,0.00,-0.06,0.12,-0.60,-1.05,9.64
!!,0:0:19.598,19598,22.92
@@,0:0:19.627,19627,0,0
##,0:0:20.449,20449,98943.50,200.69
%%,0:0:20.453,20453,1.00,-0.05,0.03,-0.00,12.75,17.87,-54.00,0.12,0.19,-0.06,-0.57,-1.07,9.63
!!,0:0:20.552,20552,22.92
@@,0:0:20.581,20581,0,0
##,0:0:21.403,21403,98941.75,200.81
%%,0:0:21.407,21407,1.00,-0.05,0.03,-0.00,12.38,17.50,-54.38,0.00,0.00,0.06,-0.59,-1.05,9.63
!!,0:0:21.505,21505,22.93
@@,0:0:21.532,21532,0,0
##,0:0:22.355,22355,98941.25,201.25
%%,0:0:22.360,22360,1.00,-0.05,0.03,-0.00,12.38,17.50,-53.56,-0.12,-0.06,0.06,-0.60,-1.04,9.67
!!,0:0:22.461,22461,22.93
@@,0:0:22.489,22489,0,0
##,0:0:23.312,23312,98942.75,200.88
%%,0:0:23.317,23317,1.00,-0.05,0.03,-0.00,12.38,18.19,-54.38,-0.12,-0.06,0.19,-0.58,-1.08,9.52
!!,0:0:23.417,23417,22.93
@@,0:0:23.445,23445,0,0
##,0:0:24.268,24268,98944.25,201.25
%%,0:0:24.272,24272,1.00,-0.05,0.03,-0.00,12.75,18.19,-52.75,0.06,0.00,0.06,-0.58,-0.99,9.67
!!,0:0:24.370,24370,22.93
@@,0:0:24.397,24397,0,0
##,0:0:25.221,25221,98943.50,200.88
%%,0:0:25.225,25225,1.00,-0.05,0.03,-0.00,12.06,17.06,-53.56,0.25,0.19,-0.12,-0.58,-1.06,9.64
!!,0:0:25.324,25324,22.93
@@,0:0:25.352,25352,0,0
##,0:0:26.175,26175,98942.75,200.88
%%,0:0:26.179,26179,1.00,-0.05,0.03,-0.00,11.69,15.56,-54.00,0.31,0.19,-0.12,-0.61,-1.04,9.58
!!,0:0:26.278,26278,22.94
@@,0:0:26.306,26306,0,0
##,0:0:27.129,27129,98943.00,201.06
%%,0:0:27.133,27133,1.00,-0.05,0.03,-0.00,12.06,16.75,-53.19,0.06,-0.06,-0.06,-0.59,-1.10,9.59
!!,0:0:27.235,27235,22.94
@@,0:0:27.262,27262,0,0
##,0:0:28.86,28086,98941.00,201.25
%%,0:0:28.91,28091,1.00,-0.05,0.03,-0.00,12.75,17.87,-53.19,-0.19,0.00,-0.12,-0.62,-1.05,9.61
!!,0:0:28.188,28188,22.94
@@,0:0:28.216,28216,0,0
##,0:0:29.39,29039,98938.75,200.81
%%,0:0:29.44,29044,1.00,-0.05,0.03,-0.00,12.06,17.50,-53.56,-0.12,-0.06,0.06,-0.60,-1.06,9.59
!!,0:0:29.142,29142,22.94
@@,0:0:29.169,29169,0,0
##,0:0:29.992,29992,98939.25,200.81
%%,0:0:29.998,29998,1.00,-0.05,0.03,-0.00,12.38,17.50,-53.56,0.00,-0.19,0.06,-0.60,-1.05,9.63
!!,0:0:30.96,30096,22.95
@@,0:0:30.123,30123,0,0
##,0:0:30.946,30946,98942.50,200.88
%%,0:0:30.951,30951,1.00,-0.05,0.03,-0.00,12.06,17.50,-54.00,-0.06,0.00,0.06,-0.59,-1.04,9.60
!!,0:0:31.49,31049,22.95
@@,0:0:31.76,31076,0,0
##,0:0:31.898,31898,98942.50,201.13
%%,0:0:31.903,31903,1.00,-0.05,0.03,-0.00,13.19,17.06,-53.56,0.06,0.06,-0.12,-0.59,-1.06,9.59
!!,0:0:32.2,32002,22.95
@@,0:0:32.27,32027,0,0
##,0:0:32.849,32849,98943.50,201.19
%%,0:0:32.854,32854,1.00,-0.05,0.03,-0.00,12.06,17.06,-54.75,0.06,0.00,0.12,-0.59,-1.05,9.60
!!,0:0:32.951,32951,22.96
@@,0:0:32.978,32978,0,0
##,0:0:33.66338,33802,98941.25,201.06
%%,0:0:33.66342,33806,1.00,-0.05,0.03,-0.00,12.38,17.50,-54.00,-0.06,0.06,-0.19,-0.61,-1.06,9.61
!!,0:0:33.66449,33913,22.96
@@,0:0:33.66479,33943,0,0
##,0:0:34.66304,34768,98944.00,201.06
%%,0:0:34.66308,34772,1.00,-0.05,0.03,-0.00,12.06,17.50,-54.38,0.19,-0.12,0.00,-0.58,-1.06,9.63
!!,0:0:34.66414,34878,22.96
@@,0:0:34.66444,34908,0,0
##,0:0:35.66269,35733,98944.25,200.94
%%,0:0:35.66273,35737,1.00,-0.05,0.03,-0.00,12.06,17.50,-53.25,0.06,0.00,-0.06,-0.61,-1.08,9.64
!!,0:0:35.66379,35843,22.96
@@,0:0:35.66408,35872,0,0
##,0:0:36.66234,36698,98945.00,200.81
%%,0:0:36.66239,36703,1.00,-0.05,0.03,-0.00,12.38,17.50,-53.56,-0.12,0.19,-0.06,-0.57,-1.05,9.46
!!,0:0:36.66346,36810,22.96
@@,0:0:36.66376,36840,0,0
##,0:0:37.66201,37665,98945.50,200.94
%%,0:0:37.66205,37669,1.00,-0.05,0.03,-0.00,12.75,16.75,-54.00,-0.06,0.06,-0.06,-0.58,-1.06,9.57
!!,0:0:37.66313,37777,22.97
@@,0:0:37.66343,37807,0,0
##,0:0:38.66168,38632,98944.25,201.00
%%,0:0:38.66171,38635,1.00,-0.05,0.03,-0.00,12.06,16.75,-54.00,-0.06,0.06,0.00,-0.62,-1.06,9.62
!!,0:0:38.66278,38742,22.97
@@,0:0:38.66307,38771,0,0
##,0:0:39.66133,39597,98942.50,200.69
%%,0:0:39.66137,39601,1.00,-0.05,0.03,-0.00,12.38,17.50,-53.56,-0.31,-0.37,0.00,-0.56,-1.05,9.38
!!,0:0:39.66244,39708,22.97
@@,0:0:39.66274,39738,0,0
##,0:0:40.66099,40563,98941.25,200.81
%%,0:0:40.66103,40567,1.00,-0.05,0.03,-0.00,12.06,17.06,-53.25,0.12,0.00,-0.06,-0.62,-1.02,9.64
!!,0:0:40.66209,40673,22.97
@@,0:0:40.66240,40704,0,0
##,0:0:41.66064,41528,98945.25,200.94
%%,0:0:41.66068,41532,1.00,-0.05,0.03,-0.00,12.06,17.87,-53.56,0.00,0.06,-0.12,-0.58,-1.08,9.60
!!,0:0:41.66174,41638,22.97
@@,0:0:41.66204,41668,0,0
##,0:0:42.66029,42493,98944.00,200.81
%%,0:0:42.66034,42498,1.00,-0.05,0.03,-0.00,12.38,17.87,-54.00,-0.12,-0.06,-0.12,-0.59,-1.05,9.60
!!,0:0:42.66143,42607,22.97
@@,0:0:42.66173,42637,0,0
##,0:0:43.65998,43462,98942.50,200.81
%%,0:0:43.66001,43465,1.00,-0.05,0.03,-0.00,12.38,17.87,-54.00,0.00,-0.19,0.06,-0.58,-1.06,9.64
!!,0:0:43.66108,43572,22.98
@@,0:0:43.66137,43601,0,0
##,0:0:44.65963,44427,98947.75,200.94
%%,0:0:44.65967,44431,1.00,-0.05,0.03,-0.00,12.38,18.19,-54.38,0.06,0.06,-0.06,-0.60,-0.99,9.62
!!,0:0:44.66072,44536,22.98
@@,0:0:44.66103,44567,0,0
##,0:0:45.65927,45391,98944.00,200.63
%%,0:0:45.65932,45396,1.00,-0.05,0.03,-0.00,12.06,18.56,-53.56,0.00,0.06,0.00,-0.59,-1.06,9.63
!!,0:0:45.66036,45500,22.98
@@,0:0:45.66066,45530,0,0
##,0:0:46.65890,46354,98945.50,200.63
%%,0:0:46.65895,46359,1.00,-0.05,0.03,-0.00,12.06,17.50,-53.56,-0.06,0.00,-0.06,-0.63,-1.01,9.57
!!,0:0:46.66003,46467,22.98
@@,0:0:46.66032,46496,0,0
##,0:0:47.65858,47322,98944.25,200.56
%%,0:0:47.65862,47326,1.00,-0.05,0.03,-0.00,12.06,17.50,-53.56,-0.06,0.06,0.00,-0.63,-1.06,9.63
!!,0:0:47.65967,47431,22.98
@@,0:0:47.65997,47461,0,0
##,0:0:48.65822,48286,98942.75,200.88
%%,0:0:48.65825,48289,1.00,-0.05,0.03,-0.00,12.38,17.50,-54.75,-0.06,0.00,-0.06,-0.62,-1.07,9.60
!!,0:0:48.65934,48398,22.98
@@,0:0:48.65964,48428,0,0
##,0:0:49.65789,49253,98944.00,200.81
%%,0:0:49.65794,49258,1.00,-0.05,0.03,-0.00,12.38,17.87,-53.25,0.06,0.00,0.06,-0.60,-1.05,9.61
!!,0:0:49.65896,49360,22.99
@@,0:0:49.65926,49390,0,0
##,0:0:50.65751,50215,98941.75,200.63
%%,0:0:50.65757,50221,1.00,-0.05,0.03,-0.00,12.75,17.06,-54.00,-0.12,0.00,-0.19,-0.61,-1.04,9.64
!!,0:0:50.65864,50328,22.99
@@,0:0:50.65894,50358,0,0
##,0:0:51.65719,51183,98946.75,201.00
%%,0:0:51.65722,51186,1.00,-0.05,0.03,-0.00,12.06,17.06,-53.56,-0.06,-0.19,0.00,-0.59,-1.04,9.63
!!,0:0:51.65831,51295,22.99
@@,0:0:51.65860,51324,0,0
##,0:0:52.65686,52150,98947.25,200.81
%%,0:0:52.65691,52155,1.00,-0.05,0.03,-0.00,12.38,17.06,-54.38,-0.12,0.06,0.00,-0.60,-1.05,9.61
!!,0:0:52.65795,52259,22.99
@@,0:0:52.65825,52289,0,0
##,0:0:53.65650,53114,98945.75,200.63
%%,0:0:53.65656,53120,1.00,-0.05,0.03,-0.00,12.06,18.19,-54.00,-0.06,0.00,0.00,-0.61,-1.07,9.63
!!,0:0:53.65760,53224,22.99
@@,0:0:53.65790,53254,0,0
